,conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_teks,jumlah_kata,jumlah_char,rata_rata_kata,tweet_english,sentiment,sentiment_num
0,1.80286e+18,Tue Jun 18 00:16:25 +0000 2024,1,BP Tapera Tegaskan 124.960 Peserta Telah Ditindaklanjuti Dan Selesai. Mbappe Wisnu Bawah IPK 4 Daging Pagii https://t.co/zsvRpy9WeJ,1.80286e+18,https://pbs.twimg.com/media/GQUJpQFbEAAgmg_.jpg,,in,,0,0,1,https://x.com/masyitaarinra/status/1802857867214758354,1.75179e+18,masyitaarinra,bp tapera tegas serta ditindaklanjuti selesai mbappe wisnu ipk daging pagi,11,74,6.73,BP Tapera was firm and followed up to complete Mbappe Vishnu IPK morning meat,negative,-1
1,1.80286e+18,Tue Jun 18 00:15:22 +0000 2024,0,Belom bayar tapera...,1.80286e+18,,,in,,0,0,0,https://x.com/heiythru/status/1802857601174261946,1.21984e+18,heiythru,bom bayar tapera,3,16,5.33,bomb pay tapera,negative,-1
2,1.80267e+18,Tue Jun 18 00:11:08 +0000 2024,0,@Kosasih0706 @zy_zy_lestary Kt projo : eitss kita punya TAPERA bisa nalangin..!! ,1.80286e+18,,Kosasih0706,in,,0,0,0,https://x.com/rtobg71/status/1802856537590989244,1.74533e+18,rtobg71,kosasih zyzylestary kt projo eitss tapera nalangin,7,50,7.14,kosasih zyzylestary kt projo eitss tapera nalangin,negative,-1
3,1.80286e+18,Tue Jun 18 00:06:49 +0000 2024,0,Setelah Tapera Pemerintah Canangkan Bank Tanah Faisal Basri: Untuk Siapa? https://t.co/Khnabv3WnS https://t.co/Khnabv3WnS,1.80286e+18,,,in,indonesia,0,0,0,https://x.com/posaktualcom/status/1802855451291181403,1.63663e+18,posaktualcom,tapera perintah canang bank tanah faisal basri,7,46,6.57,tapera orders canang land bank faisal basri,negative,-1
4,1.80285e+18,Tue Jun 18 00:01:05 +0000 2024,0,Emak gua ngomel perkara tapera yakali pns nutupin tapera yg kerja swasta,1.80285e+18,,,in,Indonesia,0,0,0,https://x.com/xooyaxee/status/1802854006043423126,1.23123e+18,xooyaxee,emak gua omel perkara tapera yakali pns nutupin tapera kerja swasta,11,67,6.09,"My mother complained about the Tapera issue, maybe civil servants are covering up the Tapera for private sector workers",negative,-1
5,1.80285e+18,Mon Jun 17 23:59:51 +0000 2024,1,Cuti bersama tapera: contoh kelakuan pemerintah yang suka seenaknya mengurangi hak pekerja,1.80285e+18,,,in,"Indonesia, mostly",0,0,1,https://x.com/goraici/status/1802853699242643555,15177656.0,goraici,cuti tapera contoh laku perintah suka kurang hak kerja,9,54,6.0,tapera leave example of behavior command like less work rights,positive,1
6,1.80285e+18,Mon Jun 17 23:59:09 +0000 2024,1,Semangat pagi warga tapera. Semangat beraktivitas hari ini .. https://t.co/MdHgr1JnXu,1.80285e+18,https://pbs.twimg.com/ext_tw_video_thumb/1802853471869353984/pu/img/IxAGuwQYOSEVbla1.jpg,,in,,0,0,0,https://x.com/AbanggSayur/status/1802853520791724424,1.10296e+18,AbanggSayur,semangat pagi warga tapera semangat aktivitas,6,45,7.5,"Morning spirit, Tapera residents, spirit of activity",positive,1
7,1.80285e+18,Mon Jun 17 23:51:53 +0000 2024,0,Kasian banget orang Indonesia. Gaji kecil dipotong pajak bpjs kes bpjs tk nanti bakal ada tapera trus harus bagi2 lagi buat tiga keluarga pas nikah.,1.80285e+18,,,in,Themyscira,0,0,0,https://x.com/napuspita/status/1802851692381368824,59013475.0,napuspita,kasi banget orang indonesia gaji potong pajak bpjs kes bpjs tk tapera keluarga pas nikah,15,88,5.87,"Thank you very much for Indonesians, salary withholding BPJS tax, BPJS case, TK Tapera, family upon marriage",positive,1
8,1.80285e+18,Mon Jun 17 23:47:17 +0000 2024,0,benci banget masalah tapera masalah pajak gaji aja udh emosi ini ditambah tapera 3% dr gaji. pengen nyundut pake roko deh. ga ada yg bkin emosi kecuali duit duit,1.80285e+18,,,in,,0,0,0,https://x.com/pemujaagensi/status/1802850533453320239,1.78197e+18,pemujaagensi,benci banget tapera pajak gaji emosi tambah tapera dr gaji nyundut pakai roko deh bkin emosi kecuali duit duit,19,110,5.79,"I really hate salary tax tapera, I'm emotional, adding tapera from my salary, using roko makes me emotional except for money, money",negative,-1
9,1.80285e+18,Mon Jun 17 23:44:07 +0000 2024,0,Makanya itu menteri kesayangan warga sebelum tapera sebut saja pak basuki ogah tinggal di ikn ,1.80285e+18,,,in,"Munich, Bavaria",0,0,0,https://x.com/DediiAjii/status/1802849736296108332,309479273.0,DediiAjii,menteri sayang warga tapera basuki ogah tinggal ikn,8,51,6.38,"Minister loves Tapera residents, Basuki doesn't want to stay IKN",positive,1
